date,kW
2017/7/30,288.817
2017/7/31,318.507
2017/8/1,335.206
2017/8/2,340.23
2017/8/3,349.136
2017/8/4,351.431
2017/8/5,330.022
2017/8/6,317.947
2017/8/7,362.283
2017/8/8,369.536
2017/8/9,369.142
2017/8/10,368.745
2017/8/11,368.828
2017/8/12,342.896
2017/8/13,324.604
2017/8/14,360.697
2017/8/15,360.867
2017/8/16,366.793
2017/8/17,367.63
2017/8/18,368.178
2017/8/19,338.513
2017/8/20,321.716
2017/8/21,361.014
2017/8/22,359.463
2017/8/23,355.082
2017/8/24,355.287
2017/8/25,353.967
2017/8/26,330.987
2017/8/27,311.68
2017/8/28,347.855
2017/8/29,361.471
2017/8/30,360.162
2017/8/31,356.037
2017/9/1,351.932
2017/9/2,319.431
2017/9/3,299.6
2017/9/4,345.405
2017/9/5,359.311
2017/9/6,369.562
2017/9/7,368.528
2017/9/8,364.928
2017/9/9,334.578
2017/9/10,317.158
2017/9/11,355.593
2017/9/12,369.164
2017/9/13,358.802
2017/9/14,348.026
2017/9/15,352.989
2017/9/16,329.911
2017/9/17,306.887
2017/9/18,339.963
2017/9/19,354.89
2017/9/20,359.847
2017/9/21,365.693
2017/9/22,369.006
2017/9/23,346.591
2017/9/24,329.802
2017/9/25,368.19
2017/9/26,377.893
2017/9/27,379.148
2017/9/28,377.612
2017/9/29,368.09
2017/9/30,354.078
2017/10/1,350.098
2017/10/2,393.891
2017/10/3,397.797
2017/10/4,342.778
2017/10/5,375.332
2017/10/6,385.428
2017/10/7,348.461
2017/10/8,328.554
2017/10/9,335.906
2017/10/10,347.136
2017/10/11,386.68
2017/10/12,381.023
2017/10/13,364.231
2017/10/14,334.531
2017/10/15,312.378
2017/10/16,360.552
2017/10/17,364.246
2017/10/18,359.051
2017/10/19,353.246
2017/10/20,344.404
2017/10/21,303.734
2017/10/22,277.572
2017/10/23,314.139
2017/10/24,325.935
2017/10/25,327.614
2017/10/26,327.413
2017/10/27,323.869
2017/10/28,296.494
2017/10/29,275.541
2017/10/30,308.63
2017/10/31,317.362
2017/11/1,346.257
2017/11/2,355.227
2017/11/3,350.751
2017/11/4,315.945
2017/11/5,295.95
2017/11/6,341.356
2017/11/7,360.974
2017/11/8,357.485
2017/11/9,358.912
2017/11/10,362.763
2017/11/11,326.375
2017/11/12,301.848
2017/11/13,344.265
2017/11/14,357.181
2017/11/15,356.865
2017/11/16,361.807
2017/11/17,362.079
2017/11/18,325.714
2017/11/19,296.278
2017/11/20,335.672
2017/11/21,347.629
2017/11/22,347.125
2017/11/23,338.884
2017/11/24,335.972
2017/11/25,312.964
2017/11/26,296.755
2017/11/27,334.102
2017/11/28,349.99
2017/11/29,352.362
2017/11/30,348.657
2017/12/1,343.364
2017/12/2,315.931
2017/12/3,297.004
2017/12/4,331.657
2017/12/5,337.694
2017/12/6,339.32
2017/12/7,342.167
2017/12/8,338.619
2017/12/9,312.374
2017/12/10,292.604
2017/12/11,327.19
2017/12/12,340.697
2017/12/13,342.499
2017/12/14,341.965
2017/12/15,342.696
2017/12/16,316.616
2017/12/17,295.842
2017/12/18,332.083
2017/12/19,343.472
2017/12/20,341.1
2017/12/21,340.143
2017/12/22,338.526
2017/12/23,313.562
2017/12/24,294.312
2017/12/25,328.296
2017/12/26,339.37
2017/12/27,337.816
2017/12/28,337.879
2017/12/29,332.959
2017/12/30,304.18
2017/12/31,282.69
2018/1/1,279.707
2018/1/2,321.468
2018/1/3,334.264
2018/1/4,337.945
2018/1/5,337.418
2018/1/6,314.58
2018/1/7,297.867
2018/1/8,334.839
2018/1/9,342.04
2018/1/10,338.775
2018/1/11,340.962
2018/1/12,338.708
2018/1/13,313.729
2018/1/14,292.266
2018/1/15,328.531
2018/1/16,337.009
2018/1/17,338.646
2018/1/18,343.104
2018/1/19,342.217
2018/1/20,316.158
2018/1/21,296.066
2018/1/22,329.891
2018/1/23,337.478
2018/1/24,337.327
2018/1/25,339.045
2018/1/26,334.841
2018/1/27,310.65
2018/1/28,293.956
2018/1/29,329.379
2018/1/30,341.17
2018/1/31,339.434
2018/2/1,333.391
2018/2/2,334.54
2018/2/3,315.291
2018/2/4,301.554
2018/2/5,336.218
2018/2/6,340.349
2018/2/7,343.688
2018/2/8,340.674
2018/2/9,336.194
2018/2/10,315.4
2018/2/11,297.184
2018/2/12,319.19
2018/2/13,315.526
2018/2/14,287.615
2018/2/15,251.816
2018/2/16,240.98
2018/2/17,239.086
2018/2/18,242.944
2018/2/19,254.426
2018/2/20,266.617
2018/2/21,302.924
2018/2/22,318.767
2018/2/23,319.701
2018/2/24,302.296
2018/2/25,288.796
2018/2/26,316.122
2018/2/27,327.071
2018/2/28,312.455
2018/3/1,338.639
2018/3/2,343.1
2018/3/3,320.965
2018/3/4,306.056
2018/3/5,348.508
2018/3/6,343.751
2018/3/7,345.499
2018/3/8,342.521
2018/3/9,337.21
2018/3/10,310.026
2018/3/11,291.992
2018/3/12,329.212
2018/3/13,340.495
2018/3/14,344.488
2018/3/15,348.197
2018/3/16,347.496
2018/3/17,319.111
2018/3/18,300.646
2018/3/19,342.507
2018/3/20,350.863
2018/3/21,338.012
2018/3/22,336.485
2018/3/23,335.959
2018/3/24,310.783
2018/3/25,295.048
2018/3/26,334.585
2018/3/27,346.188
2018/3/28,348.552
2018/3/29,351.558
2018/3/30,349.536
2018/3/31,340.3
2018/4/1,301.272
2018/4/2,340.082
2018/4/3,348.138
2018/4/4,317.561
2018/4/5,300.701
2018/4/6,299.055
2018/4/7,288.839
2018/4/8,281.561
2018/4/9,325.424
2018/4/10,340.376
2018/4/11,353.67
2018/4/12,363.582
2018/4/13,367.581
2018/4/14,344.904
2018/4/15,305.745
2018/4/16,332.007
2018/4/17,339.878
2018/4/18,341.485
2018/4/19,350.038
2018/4/20,350.586
2018/4/21,328.608
2018/4/22,314.343
2018/4/23,364.944
2018/4/24,368.681
2018/4/25,353.394
2018/4/26,356.264
2018/4/27,358.771
2018/4/28,331.936
2018/4/29,314.553
2018/4/30,353.337
2018/5/1,317.89
2018/5/2,347.624
2018/5/3,337.957
2018/5/4,333.49
2018/5/5,312.52
2018/5/6,302.099
2018/5/7,351.128
2018/5/8,347.632
2018/5/9,332.656
2018/5/10,329.666
2018/5/11,335.188
2018/5/12,313.183
2018/5/13,299.166
2018/5/14,347.687
2018/5/15,362.92
2018/5/16,371.263
2018/5/17,377.995
2018/5/18,377.045
2018/5/19,347.535
2018/5/20,329.814
2018/5/21,367.522
2018/5/22,376.947
2018/5/23,373.15
2018/5/24,368.514
2018/5/25,374.971
2018/5/26,347.016
2018/5/27,333.156
2018/5/28,381.747
2018/5/29,391.738
2018/5/30,393.897
2018/5/31,394.704
2018/6/1,362.036
2018/6/2,323.435
2018/6/3,311.431
2018/6/4,359.97
2018/6/5,373.32
2018/6/6,377.702
2018/6/7,380.397
2018/6/8,380.466
2018/6/9,351.602
2018/6/10,329.054
2018/6/11,353.874
2018/6/12,357.799
2018/6/13,361.361
2018/6/14,361.363
2018/6/15,344.5
2018/6/16,316.803
2018/6/17,301.447
2018/6/18,304.701
2018/6/19,341.183
2018/6/20,348.936
2018/6/21,356.063
2018/6/22,358.879
2018/6/23,333.169
2018/6/24,317.328
2018/6/25,365.614
2018/6/26,374.644
2018/6/27,373.386
2018/6/28,375.443
2018/6/29,372.612
2018/6/30,340.317
2018/7/1,313.525
2018/7/2,346.424
2018/7/3,356.862
2018/7/4,357.222
2018/7/5,354.923
2018/7/6,357.425
2018/7/7,329.519
2018/7/8,308.761
2018/7/9,355.959
2018/7/10,354.522
2018/7/11,335.903
2018/7/12,360.405
2018/7/13,364.861
2018/7/14,337.599
2018/7/15,316.764
2018/7/16,361.094
2018/7/17,376.937
2018/7/18,378.892
2018/7/19,380.275
2018/7/20,372.819
2018/7/21,339.94
2018/7/22,318.585
2018/7/23,357.398
2018/7/24,370.231
2018/7/25,370.374
2018/7/26,374.861
2018/7/27,372.019
2018/7/28,342.027
2018/7/29,325.854
2018/7/30,372.879
2018/7/31,384.918
2018/8/1,392.87
2018/8/2,387.28
2018/8/3,378.829
2018/8/4,345.256
2018/8/5,325.95
2018/8/6,370.238
2018/8/7,380.412
2018/8/8,381.473
2018/8/9,380.033
2018/8/10,379.108
2018/8/11,348.954
2018/8/12,328.497
2018/8/13,366.276
2018/8/14,367.15
